time,open,high,low,close,Duong_V3_20_Chart_R2_FIX11,Volume
1509408000,425,426.25,416.25,418.5,,93958
1509494400,418.75,422,416.5,418,,66275
1509580800,417.5,426.75,417.5,426,,70604
1509667200,427,429,422.25,425.75,,68733
1509930000,427,431.25,427,430.75,,84448
1510016400,430.25,431,424,427.25,,113496
1510102800,427.25,427.5,419,426.75,,94736
1510189200,425.75,432,423.75,429,,155471
1510275600,429.5,434.25,426.75,431.5,,105996
1510534800,432,432,422.25,424.25,,110242
1510621200,424.75,429.5,423.25,428,,93367
1510707600,427.75,428.25,418,420,,76382
1510794000,438.5,441,436.5,438,,56384
1510880400,437.5,444,437.25,443.5,,52688
1511139600,443,443.75,436,438.5,,61192
1511226000,438.5,445,436.5,441.25,,64934
1511312400,441.25,444.5,438.5,440.75,,65245
1511485200,440.25,440.5,431,434.75,,66562
1511744400,434,434.5,427.5,428.25,,79395
1511830800,429,431.25,424.25,429.25,,89074
1511917200,429.25,435.5,429.25,434.75,,89213
1512003600,435.75,439,430.5,433,,100650
1512090000,433,439,432,438.5,,64703
1512349200,439.5,443,434.25,435.25,,58613
1512435600,434.25,436.25,431,432.75,,47407
1512522000,432.25,433.5,424.5,425.25,,64579
1512608400,425.25,425.75,419.5,421.5,,61457
1512694800,421,424.75,417.75,419,,50431
1512954000,418,418.75,410.75,413.5,,76944
1513040400,413.25,418.75,410.5,410.75,,78404
1513126800,411.25,417.25,411,416.75,,54443
1513213200,416.5,420.75,416,418.25,,51997
1513299600,418.75,421.5,415,418.25,,49118
1513558800,420.25,423.5,419.5,420.5,,47968
1513645200,420.5,424,419,419.5,,39615
1513731600,418.75,424.5,416.25,423.5,,54040
1513818000,424,427.5,422.5,427,,44546
1513904400,426.75,429,424.25,424.75,,26982
1514250000,424,426.75,420.75,422.25,,27392
1514336400,422.25,428.25,420.75,428,,36729
1514422800,427.5,428.75,425.25,427.75,,31942
1514509200,426.25,428,424,427,,37219
1514854800,428.25,436.25,428.25,433.5,,71354
1514941200,435.25,437,432,436,,70970
1515027600,435.75,436,431,434,,58728
1515114000,433,433.75,427.5,430.75,,62551
1515373200,430.25,432.25,425.75,427.75,,71822
1515459600,427.75,433.75,425.25,432.25,,63519
1515546000,432.25,435,431.5,434.25,,62125
1515632400,434.25,434.5,428.5,433.25,,73166
1515718800,433.25,436,418.75,420.5,,131033
1516064400,420.25,422.75,413.25,416.5,,83268
1516150800,416.75,423.25,415.5,421.5,,53024
1516237200,422.25,425.75,421.25,425.25,,53107
1516323600,425.25,427.25,421.5,422.75,,39936
1516582800,424.5,427.5,423.25,425.75,,51153
1516669200,423.5,425,419.75,421.5,,57485
1516755600,422.25,433.75,420.75,433,,113542
1516842000,433,438.75,429.5,434.5,,91598
1516928400,435,442.5,434.25,441,,83104
1517187600,443,449.75,443,449.25,,109243
1517274000,454,458.5,449.75,457.25,,130214
1517360400,458.5,458.75,447.5,451.75,,121250
1517446800,451,451.5,443.25,451,,112717
1517533200,449.75,451,445,446.75,,69044
1517792400,443.25,445.75,438.75,440.25,,100967
1517878800,442,447.75,438.75,446.25,,80120
1517965200,449,461.75,447.75,460.5,,149038
1518051600,461.75,464.5,451.25,456.25,,133037
1518138000,454.25,456,448.25,449,,119895
1518397200,452,465,451.5,464,,130177
1518483600,465,467.25,459,460.75,,139468
1518570000,471.25,474,467,469.25,,59530
1518656400,469.25,476.75,465.5,475.25,,61550
1518742800,478,478,470.25,471.5,,42974
1519088400,474,477.25,462,462.5,,81466
1519174800,463.25,465,458.25,459.5,,69299
1519261200,460.25,465,457,464.25,,64676
1519347600,466,469.25,463.75,464.25,,64676
1519606800,469.75,476.75,467.75,472.75,,100763
1519693200,475.25,479,473.5,477,,81343
1519779600,478,499.5,476.5,495,,140220
1519866000,495.5,518,489.5,515.5,,152314
1519952400,514.25,518.5,493.25,500,,135236
1520211600,506.5,510.25,495.25,509.25,,75420
1520298000,506.25,507.75,495.25,507,,87388
1520384400,504.75,509.75,496,497.25,,85079
1520470800,497.25,502.5,490.25,499.25,,91529
1520557200,499.5,499.5,486,489.25,,70713
1520812800,488.5,492.75,483,490.75,,65596
1520899200,490.5,498,484.75,486.5,,85794
1520985600,485.5,490.5,483,488.75,,64369
1521072000,488.75,493.25,476,478.75,,76230
1521158400,478.75,482.25,467,467.75,,83127
1521417600,465,466,450.25,450.75,,109989
1521504000,452.5,457.5,450,453,,92600
1521590400,453.5,454.5,446.75,453.5,,79013
1521676800,453.5,459.75,451.25,455.75,,64101
1521763200,455.25,461.75,446.5,460.25,,78521
1522022400,462.5,463.75,451.25,454.25,,65958
1522108800,454.25,457.5,448.75,449,,57977
1522195200,449.5,452.5,444.5,445.5,,55976
1522281600,447.5,455.75,441.5,451,,89823
1522627200,454.25,457.25,445.75,446.25,,67069
1522713600,448.5,463.5,448.25,457.5,,99826
1522800000,457,461.5,447,455.75,,94458
1522886400,458,466,456.5,464.75,,73154
1522972800,461.5,472.75,459.25,472.25,,76592
1523232000,478,493.75,474.75,490.75,,133935
1523318400,492,494,481.75,492,,130242
1523404800,491,492,483,487.25,,101287
1523491200,483.5,484.75,474.75,481,,80170
1523577600,480.25,481.25,469.5,472.5,,63766
1523836800,466.5,470.25,461.5,462.25,,81262
1523923200,480.25,486.75,477,481.5,,59670
1524009600,481.5,490.5,480.5,489.25,,61694
1524096000,491.75,494,485,490.75,,61810
1524182400,489.75,491,476.25,477.25,,72255
1524441600,478,483.25,472.25,474.5,,87586
1524528000,474.75,485,467.75,484.25,,77718
1524614400,485.25,501.5,484.5,499,,91761
1524700800,498.5,504.25,487.25,489.5,,84507
1524787200,493.25,499,488.75,498.5,,59995
1525046400,500.75,513.25,500.75,510.5,,94965
1525132800,512.5,530,506,529.25,,116477
1525219200,529,534.5,521,526.75,,107530
1525305600,526,538.5,520.5,538,,74654
1525392000,537.25,537.25,523.5,526.25,,81612
1525651200,522.25,524,510.5,511.5,,77871
1525737600,511,520.25,506.75,514.5,,71073
1525824000,515.5,515.75,506.25,510.5,,59787
1525910400,511.25,515,500.25,506.5,,76649
1525996800,502.75,505.25,497,498.75,,55513
1526256000,499,499,490.25,491.25,,66355
1526342400,490.5,496.25,486.25,493.5,,74723
1526428800,493.75,498.75,491,494.25,,56225
1526515200,496,505,495,497.5,,68134
1526601600,497.5,518.75,495.25,518.25,,98776
1526860800,523,525.5,504.25,507.25,,101857
1526947200,505.5,530.25,502.75,521.5,,121340
1527033600,520.75,531.75,517.25,531,,91158
1527120000,531,545.25,529.25,530.25,,136823
1527206400,530,544.75,528.25,543,,86023
1527552000,547.5,554,531.5,536.5,,140350
1527638400,534.75,534.75,516.5,522,,106721
1527724800,522,531.75,515.25,526.25,,86994
1527811200,524.5,528,518.25,523.25,,84217
1528070400,520.25,521.25,503.25,505.25,,104589
1528156800,507,518.75,506,510,,106924
1528243200,509.75,531.25,507.5,519.75,,102300
1528329600,522.25,537,519.25,526.75,,121868
1528416000,528.25,533.5,513.25,520,,128275
1528675200,520,528.25,511.75,514.5,,95718
1528761600,514.75,538.25,510.25,534.5,,145449
1528848000,535,538.75,514.5,516.5,,123831
1528934400,515.75,517,498.25,501.5,,113599
1529020800,515.75,517,487,499.5,,98171
1529280000,509.75,512.5,500.5,501.5,,62501
1529366400,501,501.25,480,489.5,,91721
1529452800,489.5,501,486.5,499.25,,82102
1529539200,500.75,510,493,506.75,,84525
1529625600,506.75,509.5,498.5,504.25,,58137
1529884800,502,503.75,487,490.5,,70395
1529971200,491.5,496,480.25,483,,72866
1530057600,483,492.25,481.75,488.5,,75596
1530144000,487.5,492.75,482.75,483.5,,58313
1530230400,484.5,509,483.25,501.25,,119534
1530489600,501.25,509.75,479.5,480.25,,94635
1530576000,481.25,493,481,491,,0
1530748800,496.5,508.5,496.5,505.5,,74107
1530835200,505,516.25,498.25,515.25,,66725
1531094400,513.75,514,503.5,508,,50299
1531180800,507.5,507.75,488,492,,82254
1531267200,489.75,490.5,471.25,471.75,,88367
1531353600,474.25,488.5,473,484.5,,72578
1531440000,483.5,497.75,481.25,497,,81163
1531699200,495.25,498.5,486.75,488.5,,62009
1531785600,491,504.25,487.75,497.75,,70281
1531872000,498.25,505,493.75,494.5,,54257
1531958400,493.75,505.75,490.25,504.25,,57474
1532044800,503.5,519.75,503,516,,76739
1532304000,518,522.5,512,513.75,,74226
1532390400,511.5,516.25,505.25,510.25,,66279
1532476800,511.5,545.25,511.25,542.75,,145913
1532563200,544.75,553.75,532,536.5,,128991
1532649600,536,542,525.25,530.5,,94998
1532908800,533.5,551.75,532.75,546.5,,72662
1532995200,545.5,565,540.5,553.75,,97008
1533081600,555.25,566,550.75,558.25,,100631
1533168000,559.5,593,559,560.5,,150993
1533254400,563.25,567.75,554,556.25,,78469
1533513600,555,576.25,551.5,574.5,,75848
1533600000,575.25,586.25,564,568.25,,106029
1533686400,569.75,578,564.5,570,,91814
1533772800,570.5,573.75,561.75,564.5,,87215
1533859200,564.75,574,545.75,546.75,,113918
1534118400,546.5,549.75,530.5,533.5,,94158
1534204800,534.75,544.25,532.25,541.75,,58391
1534291200,541,542.75,528.25,532.25,,70666
1534377600,532.5,547.75,531,542.25,,45520
1534464000,542.25,563,535,560.5,,66479
1534723200,581.75,582.5,560,562.5,,63709
1534809600,564.75,564.75,546.5,547.75,,74424
1534896000,547,552.5,540,545.25,,73358
1534982400,550.75,554.5,535.5,541.75,,77644
1535068800,541.75,541.75,535,536.5,,72500
1535328000,536,536,521.75,522.5,,81364
1535414400,523,529,518.5,523.25,,80926
1535500800,523,545,521.25,541.75,,121361
1535587200,544.75,549.5,530,535,,76094
1535673600,536.25,548,535.25,545.5,,0
1536019200,538,542.5,519.5,531.5,,106960
1536105600,531.5,538.25,521.25,521.75,,59341
1536192000,522,524.5,512.5,513.75,,63569
1536278400,513.25,514.5,507.5,511.25,,66924
1536537600,512,529,508.25,528.25,,66033
1536624000,528.5,532.75,517.25,518.75,,57172
1536710400,519,529.25,500.25,506.75,,130565
1536796800,505,510,495.25,497,,87162
1536883200,497,514.25,496,511.5,,86639
1537142400,513.5,517.75,505.5,506.25,,72042
1537228800,506.25,514.25,506.25,510.5,,58176
1537315200,511,523.25,510.5,522.5,,59629
1537401600,523,525.75,516,524,,58421
1537488000,521,524.25,515,521.75,,43332
1537747200,522,531.25,520,527,,55279
1537833600,525.25,525.75,516.25,520.75,,62771
1537920000,521.25,527,516.75,517.5,,46386
1538006400,517.75,522,511.25,513,,58588
1538092800,513,518,505.5,509,,74077
1538352000,510,515.25,505.5,509.5,,69142
1538438400,510.5,524.75,505.25,519.25,,92439
1538524800,521.25,527.25,514.25,515.25,,65957
1538611200,515.75,520.75,513.75,518,,53592
1538697600,518,524.5,517.25,521,,49345
1538956800,524,525.5,512.75,514,,54161
1539043200,513.5,520.5,511.25,515,,47599
1539129600,516.75,518,510.25,510.5,,42673
1539216000,510.75,521,506.5,508,,71251
1539302400,507.75,519,507.25,517.25,,54233
1539561600,518.5,526,514.75,525,,53487
1539648000,525.75,527,521,523.5,,50816
1539734400,524,524.5,516,517.5,,39427
1539820800,516,519.5,511,513,,42084
1539907200,513,518.5,510.75,514.75,,45873
1540166400,514,514.25,507.25,508,,47980
1540252800,508,511.25,505.25,509,,47851
1540339200,510,510.75,496.75,499.5,,76184
1540425600,499.75,499.75,485.5,487.25,,84387
1540512000,487.25,506.75,486.75,505.25,,143195
1540771200,510.25,515,502.75,507.25,,66037
1540857600,505.5,507.5,497,499.75,,69051
1540944000,499.75,501.75,490,500.5,,82416
1541030400,500.5,510,500.5,508,,85216
1541116800,507,509.75,502.75,508.75,,56556
1541379600,511.25,512.25,503.75,507.25,,54254
1541466000,507.25,514,505.5,512,,51325
1541552400,512.5,514.25,507.25,510.25,,70287
1541638800,509.5,517,503.25,507.75,,110059
1541725200,507.5,508,500.75,502,,92760
1541984400,502.5,520.75,501.25,519.75,,115466
1542070800,518.25,520.75,506,507.75,,104436
1542157200,507.75,511,501,503,,80899
1542243600,503,509,503,505.5,,71987
1542330000,513.75,516.75,511.75,515.25,,41778
1542589200,514.75,515.25,503.25,506.5,,56815
1542675600,505.5,509.75,503.75,508.5,,51637
1542762000,508,512,504.75,506.75,,48400
1542934800,509,516,506.5,507.25,,61248
1543194000,510,514.25,509,514,,72501
1543280400,513,516.75,504,506.5,,72734
1543366800,506.5,513.25,505.25,511.5,,64446
1543453200,511.5,514.5,506,507.75,,56266
1543539600,507.75,519.25,507.25,515.75,,68912
1543798800,526,529.5,517,521.25,,63990
1543885200,519.5,523.25,516,522.5,,47968
1543971600,521.75,522,513.5,518,,41692
1544058000,518,518.5,510,515.5,,46278
1544144400,517,532,515.25,531.25,,85245
1544403600,529.75,531,524.5,525.25,,51267
1544490000,525,529,517.5,521,,59815
1544576400,522,528.75,521.75,526.5,,51767
1544662800,527.25,538.5,527.25,536,,78474
1544749200,536,538,527.75,530,,50289
1545008400,531,537.5,530,535.25,,37079
1545094800,534,536,530,532.75,,40246
1545181200,532.75,533,521.5,522.5,,49708
1545267600,524,527.75,521.25,523.5,,45087
1545354000,522,524,512.25,514,,62687
1545613200,512,518,511,516.5,,22528
1545786000,516,520.75,509,510,,32515
1545872400,511.5,513,507.25,510.5,,32657
1545958800,511.75,514,509.5,511.5,,25157
1546218000,512.75,513.5,503,503.25,,41278
1546390800,502.5,510.75,501.25,506.75,,46442
1546477200,506.75,516,506,513.75,,48800
1546563600,513.75,518.75,513,517,,44054
1546822800,518,518.5,513.5,516.75,,41549
1546909200,516.5,524.5,513.75,517.75,,71731
1546995600,519.75,523.75,518.25,520,,57344
1547082000,519.5,520.25,512,513.75,,59321
1547168400,513.75,523.75,512.75,519.5,,73285
1547427600,520,523.5,513.25,514.25,,49124
1547514000,514.75,518.25,508,511,,55274
1547600400,511,516.75,511,512.5,,43239
1547686800,511.5,522.5,509,517.75,,65567
1547773200,519.75,522.75,515.25,517.75,,50525
1548118800,518,526,514.25,521.25,,75782
1548205200,522.5,527,521.75,526,,45101
1548291600,527,529,521,521.5,,50940
1548378000,520.5,523,516.75,520,,51098
1548637200,520.75,523.5,516,518.75,,44012
1548723600,517.75,522,510.75,513.25,,77727
1548810000,513.25,518,511.75,516.75,,46572
1548896400,517.75,520,513.5,516.5,,56309
1548982800,515.75,526.5,515.25,524.25,,83420
1549242000,524.75,529,521.25,525.75,,74705
1549328400,525.25,528.25,520.5,527.25,,73338
1549414800,527,531.25,524.25,526,,73137
1549501200,525.25,525.25,512.5,513.25,,112345
1549587600,514.75,522.25,513.5,517.25,,112341
1549846800,517.25,519,512,518.25,,85556
1549933200,518.5,520.75,514.5,520,,82836
1550019600,519.75,524,518.75,522.25,,74961
1550106000,521.5,522.5,506,507,,103160
1550192400,511.25,512.25,503,507,,72692
1550538000,505.25,508.5,491,492.25,,69519
1550624400,492.25,496,479.75,484.25,,100613
1550710800,484.25,495.25,483.75,491,,84179
1550797200,493,497.5,488.75,491.75,,69665
1551056400,494.5,495,472.25,472.75,,110953
1551142800,473,474.75,463.75,468.25,,101106
1551229200,468.25,475.5,465.25,466.75,,64006
1551315600,468,468.75,457.75,459.5,,64296
1551402000,459.5,461.25,447.25,457.25,,90880
1551661200,457.25,461.25,454.25,455.5,,63265
1551747600,457,464,453,462.75,,54024
1551834000,464.25,464.25,449.25,450,,63242
1551920400,450.75,451.75,437.5,438.25,,86490
1552006800,438,444.25,434.25,439.5,,82395
1552262400,439.5,441.75,427,428.5,,79163
1552348800,428.5,457,427.5,453,,128647
1552435200,454,456,440.25,447.25,,86960
1552521600,447.25,460.75,447,452.75,,82961
1552608000,452.5,463,448.5,462.25,,67723
1552867200,463.25,464,454.5,456.75,,58389
1552953600,458.5,462.5,453.75,456.5,,53498
1553040000,456.75,465,454.75,464.75,,53591
1553126400,464.5,467.5,458,466.5,,62807
1553212800,465.5,473.75,463.75,466,,73007
1553472000,466.5,471.75,463,469.5,,59710
1553558400,470,478,467,469.25,,83738
1553644800,470,471.75,466.5,469.5,,61160
1553731200,468.5,469.25,459.5,464.5,,49566
1553817600,463.75,464.75,452.5,457.75,,72175
1554076800,459.5,468.25,456,462.75,,61267
1554163200,463.5,465.75,456,464,,48157
1554249600,463,472.75,463,471,,61886
1554336000,471,477.5,468,470.75,,70274
1554422400,469,469.5,464.25,467.75,,89210
1554681600,467.25,471,461.75,465.25,,83285
1554768000,462,462.5,456.25,459.5,,89059
1554854400,459,461.75,455.5,458,,65278
1554940800,457,462.5,456.75,460.5,,78538
1555027200,462,465.25,457.5,464.5,,64972
1555286400,463.75,464,457.75,459.5,,79730
1555372800,458.75,460.25,442.25,445,,90378
1555459200,450,453.75,448.25,450.25,,67051
1555545600,450,451.5,443.25,448.25,,59462
1555891200,446.75,448.25,440.75,441.75,,59956
1555977600,441.25,447.5,439,445,,78185
1556064000,444.5,445.75,436,438.5,,66714
1556150400,436.75,443.5,434.5,441.5,,65264
1556236800,439.75,445.75,439.5,442.5,,53347
1556496000,443.25,446.75,433.75,435.25,,72916
1556582400,434.25,435.5,426,428.75,,68801
1556668800,428,437.75,427.75,436,,58077
1556755200,436.75,448.5,435.5,444,,63492
1556841600,445,448,436,438,,47979
1557100800,430,439.5,428,437.25,,46124
1557187200,436.5,442.25,431.25,439.5,,55740
1557273600,440.25,443.5,434.5,439,,48905
1557360000,437.75,438,428,429.5,,54140
1557446400,432,434.25,421.5,424.75,,66092
1557705600,425.5,440.75,418.5,437,,75443
1557792000,441.25,450.75,438,448.5,,66451
1557878400,451.5,464,447,448.75,,85023
1557964800,446.25,468.5,446.25,467,,75268
1558051200,469,473.25,462.5,465,,74170
1558310400,469.75,484,468,478.25,,86583
1558396800,486.25,492.75,474,478.75,,99488
1558483200,475.75,481,468.5,472.75,,65945
1558569600,473,485.5,466.25,470.25,,78862
1558656000,469.75,490.75,467.25,489.5,,74194
1559001600,495,509.25,494.5,504.75,,107854
1559088000,515,521.75,487.5,490.5,,126551
1559174400,488.75,515,482,514.5,,101106
1559260800,514.5,520,500.75,503,,107970
1559520000,505.75,522.75,503,519.75,,92329
1559606400,526,529,501.25,507.25,,116942
1559692800,507,508.5,488.5,490.75,,95346
1559779200,492,514,487.75,510,,126522
1559865600,511,512.75,502,504.5,,95648
1560124800,505.25,508.5,493.25,507.5,,70587
1560211200,504,518.75,500.25,518,,93396
1560297600,519.75,528,513,526.25,,98892
1560384000,526,536.5,524.75,535.5,,80265
1560470400,535.5,544,530.75,538.5,,80190
1560729600,542.75,553,539.5,542.75,,60868
1560816000,542.75,544.25,528,535.5,,56103
1560902400,533.75,535,519,526.75,,73716
1560988800,524.75,534.75,519.75,531.75,,58249
1561075200,532.5,534.75,528.25,530.75,,58849
1561334400,530.75,544.75,526.75,542.5,,67039
1561420800,545,549.5,538.25,540,,75328
1561507200,539.75,547.75,536.25,546.5,,99292
1561593600,547.25,557.25,541.75,546.75,,84424
1561680000,546,554.75,522.5,527.25,,109135
1561939200,530,531,508.5,511.75,,74333
1562025600,511.75,515.75,501.25,503.25,,73244
1562112000,502,514.5,501,514,,41703
1562284800,514,517,505.25,515,,39894
1562544000,518,519,507.25,511,,60682
1562630400,510,511,498.75,502.75,,69446
1562716800,500.25,506.75,498,504.75,,63653
1562803200,505,523,500.25,521.5,,84189
1562889600,521.5,525.75,516.75,523,,60976
1563148800,524.25,531.5,506,507.75,,68193
1563235200,507.75,510,501,507.5,,51260
1563321600,507.25,514,502,505.5,,40000
1563408000,504,505.25,493,493.5,,59023
1563494400,494.75,516.75,492.5,502.5,,67722
1563753600,505.25,505.25,487,487.25,,69561
1563840000,487.75,493.5,483.25,487.25,,57807
1563926400,487.25,498.75,487.25,497.75,,61740
1564012800,497.75,507.5,492.25,499.5,,66902
1564099200,499.5,500.25,493.5,496,,41871
1564358400,495.25,507.25,492.5,503.5,,63097
1564444800,502.25,503.25,495,497.25,,47667
1564531200,497.5,500.5,484.5,487.25,,64057
1564617600,486.75,488.5,471.75,475.75,,79618
1564704000,479.25,491.5,476,490.75,,76637
1564963200,490.25,495,479.25,494.5,,70664
1565049600,493,495.75,482.75,484,,58659
1565136000,484,490.25,477.5,488.25,,69547
1565222400,489.5,502.75,486,498.5,,93527
1565308800,498.25,505.25,496,499.5,,80313
1565568000,500,502,466.5,471.75,,101997
1565654400,471,478.75,465.5,472,,80015
1565740800,474.75,480,471.25,473.75,,54940
1565827200,475.75,477.25,468.5,469,,50555
1565913600,470.25,473,467.25,470.75,,43363
1566172800,475.25,476.75,471,472.5,,52631
1566259200,471,475.75,463.5,466.5,,56375
1566345600,466.5,468.75,461.75,468,,49860
1566432000,468,474.5,466,471.75,,45884
1566518400,471.25,478.5,465.75,477.75,,54997
1566777600,476,481.25,472.75,475.25,,49041
1566864000,474.5,479.75,472.75,476.75,,50570
1566950400,477.25,478.25,468.75,475.25,,52036
1567036800,475,477.5,471.75,472.75,,35366
1567123200,472.75,472.75,459.25,462.5,,89670
1567468800,463,463,450.5,453.5,,77118
1567555200,454,465,454,460.75,,64935
1567641600,460.5,469.5,460.25,466.25,,46422
1567728000,466,466.75,460.25,463.75,,34573
1567987200,461,476,460.25,474.5,,65370
1568073600,475.75,483.5,473.75,482.25,,54835
1568160000,481.5,482.5,475,477.5,,45850
1568246400,479,486,472.5,483.75,,61936
1568332800,485.5,491,480.5,483.5,,51154
1568592000,488,490,482.25,488.75,,48636
1568678400,487.75,487.75,480.75,484.25,,49217
1568764800,484.25,492.5,481.75,489.5,,49975
1568851200,489.25,492,484.5,488,,49573
1568937600,486.5,491.25,483.5,484.25,,39951
1569196800,485,487.5,481.25,483,,28538
1569283200,481.75,484.25,477.5,481.75,,38227
1569369600,481,482.25,476.25,477.25,,34840
1569456000,477,486.75,476.75,484.25,,47412
1569542400,486,490.5,482.5,487.25,,36017
1569801600,488,501,483.25,495.75,,78104
1569888000,496.5,499.25,489.75,498.75,,59419
1569974400,496.5,499,485.25,489,,55278
1570060800,488,493,485.75,488.75,,31835
1570147200,489.25,492.25,486.5,490.5,,28757
1570406400,492,494.5,488.5,489.25,,35058
1570492800,489.75,502.25,486.75,500.25,,58655
1570579200,500.5,504.5,497.25,500.25,,46017
1570665600,499.5,504.25,487.5,493,,68283
1570752000,491.75,512.75,491.25,508,,84743
1571011200,513,515,506.75,511,,52203
1571097600,510,511.25,504.25,507,,38047
1571184000,505.75,514.25,504.5,513.25,,48997
1571270400,514.25,527,512.75,525.5,,66632
1571356800,526,532.75,521,532.25,,56244
1571616000,532,535,522.75,523.5,,53543
1571702400,523,532.25,517.25,518,,52259
1571788800,518,523.75,515.75,520.75,,42796
1571875200,522.5,523.75,515.5,516,,36210
1571961600,517.25,522,514.5,517.75,,40230
1572220800,518,518.5,510,511.75,,50217
1572307200,513,516,508.25,511.5,,51562
1572393600,511.25,514,507,509.25,,35336
1572480000,510,512.25,501,508.75,,63621
1572566400,508.75,516.5,506.75,516,,53598
1572829200,514.25,515.25,508,509.75,,39525
1572915600,511,516,509,515.25,,51553
1573002000,515.5,521.75,513.5,516.75,,62209
1573088400,517.5,519.75,511,512.5,,71045
1573174800,512.5,517.75,505.5,510.25,,79538
1573434000,508,510.5,503.75,505.75,,78285
1573520400,506.25,517.25,505.25,517,,78046
1573606800,516.5,516.75,506.5,509,,72652
1573693200,508.75,512,505.5,507.75,,53537
1573779600,511,511.5,504.75,506,,44695
1574038800,506.5,513.5,501.75,510.75,,58900
1574125200,509.5,518.75,509.25,515.25,,77709
1574211600,515.25,519,511.5,518.75,,45707
1574298000,518,522.75,511,512,,56828
1574384400,512,522,511.25,518.75,,59121
1574643600,518.75,534.75,518.75,533,,97627
1574730000,532.5,532.75,525.75,531,,74316
1574816400,530.75,533.25,526,526.75,,55141
1574989200,530,546,528.5,541.75,,64823
1575248400,542.75,544,534.25,535.25,,69179
1575334800,538,541.25,524.25,525.25,,82267
1575421200,525.25,529.75,522.25,527.5,,46872
1575507600,527.5,530,522.75,523.75,,40864
1575594000,523.75,526.75,519.25,524.5,,44178
1575853200,523.75,526,520.25,522.75,,43599
1575939600,522.75,528,519.25,523.75,,43615
1576026000,523.5,523.5,516.75,519.25,,47524
1576112400,518,534.25,516.25,530.25,,65231
1576198800,533,536.25,525.75,532.5,,65491
1576458000,534.75,556.75,534.75,549.75,,95740
1576544400,553.25,557.25,545,556.25,,68511
